Source_ID,H2,CH4,C2H6,C2H4,C2H2,Type,Source
103,116.17,180.83,52.48,278.18,5.36,T3,dataset1
104,5760.0,540.0,40.5,1000.0,2760.0,D2,dataset1
105,50.18,171.12,74.7,148.69,0.0,T2,dataset1
106,20.0,80.2,24.6,68.6,0.0,T2,dataset1
107,28.97,10.94,1.64,6.96,4.36,T3,dataset1
108,15.9,55.98,22.33,137.25,0.21,T3,dataset1
109,47.6,19.1,4.21,27.0,0.72,T1,dataset1
110,40.0,102.6,32.3,183.3,0.2,D2,dataset1
111,50.35,65.58,21.05,99.13,0.96,T3,dataset1
112,2.369,119.69,21.891,20.15,0.0,T1,dataset1
113,120.45,210.91,35.7,285.39,15.86,T3,dataset1
114,87.17,17.26,3.94,12.87,32.81,D1,dataset1
115,5.48,48.82,96.81,489.57,0.3,T3,dataset1
116,605.0,1586.0,655.0,1901.0,2.3,T3,dataset1
117,1.96,2.1,0.5,0.67,1.59,D1,dataset1
118,462.0,212.4,31.6,0.0,0.0,PD,dataset1
119,25.4,54.97,8.72,77.84,10.47,T3,dataset1
120,131.7,116.55,19.4,183.97,0.32,T3,dataset1
121,7911.85,947.43,96.93,907.19,4844.48,D1,dataset1
122,21.0,2.01,0.46,1.48,5.61,D1,dataset1
123,676.74,969.55,570.57,2483.26,17.48,T3,dataset1
124,7238.97,695.16,231.6,2394.3,2308.92,D2,dataset1
125,101.5,24.45,8.97,128.37,0.0,T3,dataset1
126,73.8,148.0,38.9,181.0,1.76,T3,dataset1
127,34.76,5.52,2.09,4.97,10.36,D1,dataset1
128,18.19,21.99,6.58,46.92,3.97,T3,dataset1
129,1.6,1.0,0.1,0.9,1.6,D1,dataset1
130,22400.0,22400.0,2690.0,13440.0,1570.0,T3,dataset1
131,670.0,224.0,45.0,67.0,2.0,T2,dataset1
132,224.0,4.5,2.0,0.0,0.0,T1,dataset1
133,900.0,9180.0,0.0,900.0,22.0,T1,dataset1
134,0.0,224.0,0.0,45.0,0.0,T1,dataset1
135,470.0,4637.0,1300.0,448.0,0.0,T1,dataset1
136,65.0,20.0,10.0,5.0,0.0,T1,dataset1
137,53.0,39.0,3.0,4.5,0.0,T1,dataset1
138,219.0,44.0,3.0,3.0,0.0,T1,dataset1
139,37.0,47.0,10.0,5.5,0.0,T1,dataset1
140,34.0,30.0,34.0,2.5,0.0,T1,dataset1
141,14.0,62.0,16.0,3.0,0.0,T1,dataset1
142,65.0,34.0,16.0,112.0,0.0,T3,dataset1
143,0.7,1.5,0.3,1.8,0.0,T2,dataset1
144,0.0,0.2,0.1,0.13,0.0,T2,dataset1
145,48.0,40.0,11.0,0.5,0.0,T1,dataset1
146,130.0,140.0,24.0,120.0,0.0,T1,dataset1
147,86.0,8.0,2.5,2.5,0.0,T1,dataset1
148,6.0,3.0,0.8,0.7,0.0,T1,dataset1
149,50.0,3.0,1.0,0.0,0.0,T1,dataset1
150,55.0,22.0,0.5,2.6,0.0,T1,dataset1
151,78.0,66.0,62.0,2.6,0.0,T1,dataset1
152,1600.0,3600.0,670.0,14.0,0.0,PD,dataset1
153,6600.0,1000.0,38.0,2.0,19.0,PD,dataset1
154,88.0,9.0,0.0,0.03,0.0,PD,dataset1
155,2240.0,168.0,25.0,0.0,0.0,PD,dataset1
156,1950.0,123.0,38.0,2.0,2.0,PD,dataset1
157,2240.0,157.0,90.0,45.0,45.0,PD,dataset1
158,73.0,8.0,4.0,2.0,12.0,D1,dataset1
159,5000.0,4000.0,2000.0,2000.0,8000.0,D1,dataset1
160,24.3,15.7,6.4,11.2,29.8,D1,dataset1
161,2240.0,360.0,25.0,169.0,828.0,D1,dataset1
162,4480.0,560.0,380.0,403.0,896.0,D1,dataset1
163,2240.0,560.0,380.0,450.0,940.0,D1,dataset1
164,200.0,230.0,2.0,170.0,480.0,D1,dataset1
165,60.0,5.0,1.0,6.0,29.0,D1,dataset1
166,890.0,110.0,3.0,84.0,700.0,D1,dataset1
167,41.0,112.0,0.0,254.0,4536.0,D1,dataset1
168,16000.0,4000.0,500.0,8500.0,16000.0,D2,dataset1
169,21.0,75.0,24.0,126.0,0.0,T3,dataset1
170,111.0,559.0,243.0,707.0,0.0,T2,dataset1
171,23.0,59.9,18.6,56.9,0.1,T2,dataset1
172,740.0,2227.0,567.0,4258.0,42.0,T3,dataset1
173,388.0,860.0,230.0,1833.0,18.3,T3,dataset1
174,84.0,126.0,28.9,132.2,0.37,T2,dataset1
175,362.0,533.0,91.0,553.0,10.0,T2,dataset1
176,103.0,221.7,47.2,422.0,0.9,T3,dataset1
177,1769.7,554.2,145.2,1066.7,885.7,D2,dataset1
178,38.0,3.7,0.0,4.1,19.4,D1,dataset1
179,700.0,137.4,14.9,194.8,936.6,D1,dataset1
180,253.0,21.5,5.9,16.1,72.4,D1,dataset1
181,131.0,32.0,7.3,18.8,38.7,D1,dataset1
182,116.0,20.0,7.0,27.0,54.0,D1,dataset1
183,70.0,3.8,0.6,3.2,31.1,D1,dataset1
184,34.0,18.9,3.7,9.4,5.6,D1,dataset1
185,390.0,62.6,12.8,65.3,133.6,D2,dataset1
186,1270.0,3450.0,520.0,1390.0,8.0,T2,dataset1
187,3420.0,7870.0,1500.0,6990.0,33.0,T2,dataset1
188,360.0,610.0,259.0,260.0,9.0,T2,dataset1
189,1.0,27.0,49.0,4.0,1.0,T2,dataset1
190,3675.0,6392.0,2500.0,7691.0,5.0,T2,dataset1
191,48.0,610.0,29.0,10.0,0.0,T2,dataset1
192,12.0,18.0,4.0,4.0,0.0,T2,dataset1
193,66.0,60.0,2.0,7.0,0.0,T2,dataset1
194,1450.0,940.0,211.0,322.0,61.0,T2,dataset1
195,0.0,18900.0,410.0,540.0,330.0,T2,dataset1
196,960.0,4000.0,1290.0,1560.0,6.0,T2,dataset1
197,24700.0,61000.0,26300.0,42100.0,1560.0,T2,dataset1
198,14.0,44.0,124.0,7.0,1.0,T2,dataset1
199,2031.0,149.0,20.0,3.0,0.0,T2,dataset1
200,480.0,1075.0,298.0,1132.0,0.0,T2,dataset1
201,40000.0,400.0,70.0,600.0,6.0,T2,dataset1
1,345.0,112.3,27.5,51.5,58.8,D1,dataset2
2,181.0,262.0,41.0,28.0,0.001,T1,dataset2
3,172.9,334.0,172.0,812.5,37.7,T3,dataset2
4,127.0,107.0,11.0,154.0,224.0,D2,dataset2
5,60.0,40.0,6.9,110.0,70.0,D2,dataset2
6,220.0,340.0,42.0,480.0,14.0,T3,dataset2
7,170.0,320.0,53.0,520.0,3.2,T3,dataset2
8,27.0,90.0,42.0,73.0,0.2,T1,dataset2
9,565.0,53.0,34.0,47.0,0.001,D1,dataset2
10,56.0,286.0,96.0,28.0,7.0,T3,dataset2
11,200.0,48.0,14.0,117.0,131.0,D2,dataset2
12,78.0,161.0,86.0,353.0,10.0,T3,dataset2
13,32.4,5.5,1.4,12.6,13.2,D2,dataset2
14,41.0,65.0,22.0,58.0,0.001,T2,dataset2
15,20.0,48.0,36.0,186.0,0.001,T3,dataset2
16,179.0,306.0,73.0,579.0,0.001,T3,dataset2
17,73.0,177.0,37.0,52.0,0.001,T2,dataset2
18,39.0,7.0,12.0,65.0,0.001,T3,dataset2
19,37.0,96.0,19.0,57.0,0.001,T2,dataset2
20,46.0,147.0,27.0,150.0,0.001,T3,dataset2
21,18.0,63.0,20.0,51.0,0.001,T2,dataset2
22,28.0,62.0,16.0,76.0,0.001,T3,dataset2
23,68.0,78.0,103.0,136.0,0.001,T3,dataset2
24,54.0,143.0,23.0,101.0,0.001,T2,dataset2
25,19.0,47.0,27.0,62.0,0.001,T2,dataset2
26,86.0,277.0,63.0,338.0,0.001,T3,dataset2
27,20.0,19.0,45.0,77.0,0.001,T3,dataset2
28,25.0,49.0,42.0,58.0,0.001,T2,dataset2
29,53.0,150.0,64.0,379.0,0.001,T3,dataset2
30,114.0,241.0,80.0,574.0,0.001,T3,dataset2
31,99.0,288.0,73.0,386.0,0.001,T3,dataset2
32,1374.0,2648.0,628.0,5376.0,298.0,T3,dataset2
33,34.0,83.0,100.0,136.0,0.001,T3,dataset2
34,20.0,132.0,61.0,17.0,0.001,T1,dataset2
35,13.0,138.0,83.0,16.0,0.001,T1,dataset2
36,43.0,116.0,65.0,139.0,0.001,T2,dataset2
37,179.0,306.0,73.0,579.0,0.001,T3,dataset2
38,57.0,141.0,38.0,51.0,0.001,T2,dataset2
39,35.0,283.0,121.0,222.0,0.001,T2,dataset2
40,15.0,159.0,29.0,87.0,0.001,T2,dataset2
41,55.0,159.0,114.0,493.0,0.001,T3,dataset2
42,37.0,123.0,67.0,52.0,0.001,T1,dataset2
43,7.0,15.0,78.0,58.0,0.001,T1,dataset2
44,30.0,51.0,12.0,54.0,0.001,T3,dataset2
45,31.0,56.0,33.0,77.0,0.001,T2,dataset2
46,109.0,226.0,68.0,192.0,0.001,T2,dataset2
47,137.0,279.0,66.0,505.0,0.001,T3,dataset2
48,59.0,119.0,36.0,70.0,0.001,T2,dataset2
49,151.0,242.0,68.0,232.0,0.001,T2,dataset2
50,870.0,77.0,73.0,54.0,14.0,PD,dataset2
51,376.0,575.0,146.0,1092.0,0.001,T3,dataset2
52,17.0,40.0,11.0,86.0,0.001,T3,dataset2
53,90.0,313.0,67.0,566.0,10.0,T1,dataset2
54,23.0,6.0,172.0,23.0,31.0,T1,dataset2
55,103.0,74.0,80.0,9.0,0.001,T1,dataset2
56,124.0,166.0,87.0,59.0,0.001,T1,dataset2
57,295.0,1466.0,331.0,1295.0,32.0,T2,dataset2
58,80.0,619.0,326.0,2480.0,0.001,T2,dataset2
59,231.0,3997.0,1726.0,5584.0,0.001,T2,dataset2
60,507.0,1053.0,297.0,1440.0,17.0,T2,dataset2
61,2587.0,7.88,4.7,1.4,0.001,D1,dataset2
62,240.0,20.0,5.0,28.0,96.0,D1,dataset2
63,160.0,10.0,3.0,1.0,1.0,D1,dataset2
64,56.0,61.0,75.0,32.0,31.0,D1,dataset2
65,217.0,286.0,14.0,458.0,884.0,D2,dataset2
66,441.0,207.0,43.0,224.0,261.0,D2,dataset2
67,127.0,24.0,0.001,32.0,81.0,D2,dataset2
68,176.0,205.9,47.7,75.7,68.7,D2,dataset2
69,90.0,313.0,67.0,566.0,10.0,T1,dataset2
70,23.0,6.0,172.0,23.0,31.0,T1,dataset2
71,103.0,74.0,80.0,9.0,0.001,T1,dataset2
72,124.0,166.0,87.0,59.0,0.001,T1,dataset2
73,295.0,1466.0,331.0,1295.0,32.0,T2,dataset2
74,80.0,619.0,326.0,2480.0,0.001,T2,dataset2
75,231.0,3997.0,1726.0,5584.0,0.001,T2,dataset2
76,507.0,1053.0,297.0,1440.0,17.0,T2,dataset2
77,2587.0,7.88,4.7,1.4,0.001,D1,dataset2
78,240.0,20.0,5.0,28.0,96.0,D1,dataset2
79,160.0,10.0,3.0,1.0,1.0,D1,dataset2
80,56.0,61.0,75.0,32.0,31.0,D1,dataset2
81,217.0,286.0,14.0,458.0,884.0,D2,dataset2
82,441.0,207.0,43.0,224.0,261.0,D2,dataset2
83,127.0,24.0,0.001,32.0,81.0,D2,dataset2
84,176.0,205.9,47.7,75.7,68.7,D2,dataset2
85,41.0,65.0,22.0,58.0,0.001,T2,dataset2
86,20.0,48.0,36.0,186.0,0.001,T3,dataset2
87,179.0,306.0,73.0,579.0,0.001,T3,dataset2
88,73.0,177.0,37.0,52.0,0.001,T2,dataset2
89,39.0,7.0,12.0,65.0,0.001,T3,dataset2
90,37.0,96.0,19.0,57.0,0.001,T2,dataset2
91,46.0,147.0,27.0,150.0,0.001,T3,dataset2
92,18.0,63.0,20.0,51.0,0.001,T2,dataset2
93,28.0,62.0,16.0,76.0,0.001,T3,dataset2
94,68.0,78.0,103.0,136.0,0.001,T3,dataset2
95,54.0,143.0,23.0,101.0,0.001,T2,dataset2
96,19.0,47.0,27.0,62.0,0.001,T2,dataset2
97,86.0,277.0,63.0,338.0,0.001,T3,dataset2
98,20.0,19.0,45.0,77.0,0.001,T3,dataset2
99,25.0,49.0,42.0,58.0,0.001,T2,dataset2
100,53.0,150.0,64.0,379.0,0.001,T3,dataset2
101,114.0,241.0,80.0,574.0,0.001,T3,dataset2
102,99.0,288.0,73.0,386.0,0.001,T3,dataset2
103,1374.0,2648.0,628.0,5376.0,298.0,T3,dataset2
104,34.0,83.0,100.0,136.0,0.001,T3,dataset2
105,20.0,132.0,61.0,17.0,0.001,T1,dataset2
106,13.0,138.0,83.0,16.0,0.001,T1,dataset2
107,43.0,116.0,65.0,139.0,0.001,T2,dataset2
108,179.0,306.0,73.0,579.0,0.001,T3,dataset2
109,57.0,141.0,38.0,51.0,0.001,T2,dataset2
110,35.0,283.0,121.0,222.0,0.001,T2,dataset2
111,15.0,159.0,29.0,87.0,0.001,T2,dataset2
112,55.0,159.0,114.0,493.0,0.001,T3,dataset2
113,37.0,123.0,67.0,52.0,0.001,T1,dataset2
114,7.0,15.0,78.0,58.0,0.001,T1,dataset2
115,30.0,51.0,12.0,54.0,0.001,T3,dataset2
116,31.0,56.0,33.0,77.0,0.001,T2,dataset2
117,109.0,226.0,68.0,192.0,0.001,T2,dataset2
118,137.0,279.0,66.0,505.0,0.001,T3,dataset2
119,59.0,119.0,36.0,70.0,0.001,T2,dataset2
120,151.0,242.0,68.0,232.0,0.001,T2,dataset2
121,870.0,77.0,73.0,54.0,14.0,PD,dataset2
122,376.0,575.0,146.0,1092.0,0.001,T3,dataset2
123,17.0,40.0,11.0,86.0,0.001,T3,dataset2
124,345.0,112.3,27.5,51.5,58.8,D1,dataset2
125,181.0,262.0,41.0,28.0,0.001,T1,dataset2
126,172.9,334.0,172.0,812.5,37.7,T3,dataset2
127,127.0,107.0,11.0,154.0,224.0,D2,dataset2
128,60.0,40.0,6.9,110.0,70.0,D2,dataset2
129,220.0,340.0,42.0,480.0,14.0,T3,dataset2
130,170.0,320.0,53.0,520.0,3.2,T3,dataset2
131,27.0,90.0,42.0,73.0,0.2,T1,dataset2
132,565.0,53.0,34.0,47.0,0.001,D1,dataset2
133,56.0,286.0,96.0,28.0,7.0,T3,dataset2
134,200.0,48.0,14.0,117.0,131.0,D2,dataset2
135,78.0,161.0,86.0,353.0,10.0,T3,dataset2
136,32.4,5.5,1.4,12.6,13.2,D2,dataset2
137,117.0,17.0,1.0,3.0,1.0,PD,dataset2
138,407.0,28.0,15.0,21.0,0.001,PD,dataset2
139,183.0,6.0,0.001,5.0,0.001,PD,dataset2
140,166.0,21.0,38.0,6.0,0.001,PD,dataset2
141,105.0,23.0,13.0,4.0,3.0,PD,dataset2
142,110.0,7.0,0.001,0.001,0.001,PD,dataset2
143,111.7,19.4,104.1,6.4,3.8,PD,dataset2
144,181.5,22.0,76.0,3.7,0.001,PD,dataset2
145,230.0,15.9,16.3,1.9,2.4,PD,dataset2
146,101.0,8.1,0.001,3.0,0.001,PD,dataset2
147,134.0,13.0,156.0,0.001,0.001,PD,dataset2
148,1549.2,10.2,0.001,53.19,0.001,PD,dataset2
149,1458.0,9.0,1812.0,0.001,0.001,PD,dataset2
150,195.0,5.3,0.001,0.001,0.001,PD,dataset2
151,197.0,12.0,6.6,15.0,0.001,PD,dataset2
152,106.0,4.0,2.0,1.0,0.001,PD,dataset2
153,109.0,4.0,11.0,9.0,0.001,PD,dataset2
154,109.0,16.0,0.001,0.001,0.001,PD,dataset2
155,116.0,14.0,134.0,5.3,0.001,PD,dataset2
156,100.0,18.0,0.001,0.001,0.001,PD,dataset2
157,113.0,21.0,48.0,0.001,4.0,PD,dataset2
158,103.5,4.7,16.3,3.5,0.001,PD,dataset2
159,160.0,24.7,38.5,0.001,0.001,PD,dataset2
160,134.0,13.0,267.0,0.001,0.001,PD,dataset2
161,235.0,16.0,0.001,35.0,0.001,PD,dataset2
162,187.0,5.0,1.0,0.001,0.001,PD,dataset2
163,121.0,3.0,1.0,0.001,0.001,PD,dataset2
164,32930.0,2397.0,157.0,0.001,0.001,PD,dataset2
165,37800.0,1740.0,249.0,8.0,8.0,PD,dataset2
166,8266.0,1061.0,22.0,0.001,0.001,PD,dataset2
167,9340.0,995.0,60.0,6.0,7.0,PD,dataset2
168,36036.0,4704.0,554.0,5.0,10.0,PD,dataset2
169,33046.0,619.0,58.0,2.0,0.001,PD,dataset2
170,40280.0,1069.0,1060.0,1.0,1.0,PD,dataset2
171,26788.0,18342.0,2111.0,27.0,0.001,PD,dataset2
172,92600.0,10200.0,0.001,0.001,0.001,PD,dataset2
173,16000.0,3600.0,670.0,14.0,0.001,PD,dataset2
174,6600.0,1000.0,38.0,2.0,19.0,PD,dataset2
175,2091.0,149.0,20.0,3.0,0.001,PD,dataset2
176,980.0,73.0,58.0,12.0,0.001,PD,dataset2
177,650.0,53.0,35.0,20.0,0.001,PD,dataset2
178,56.0,61.0,75.0,32.0,31.0,PD,dataset2
179,1651.0,90.0,33.0,45.0,2.0,PD,dataset2
180,2510.0,202.0,139.0,208.0,1730.0,D1,dataset2
181,109.0,19.0,5.0,12.0,59.0,D1,dataset2
182,135.0,27.0,24.0,9.0,13.0,D1,dataset2
183,174.0,27.0,6.0,12.0,29.0,D1,dataset2
184,179.0,29.0,10.0,17.0,33.0,D1,dataset2
185,142.0,17.0,4.0,7.0,38.0,D1,dataset2
186,595.0,32.0,4.0,18.0,65.0,D1,dataset2
187,720.0,7.0,0.001,15.0,101.0,D1,dataset2
188,163.0,26.0,7.0,19.0,133.0,D1,dataset2
189,153.0,18.0,9.0,0.001,278.0,D1,dataset2
190,111.0,2.8,47.0,0.001,27.5,D1,dataset2
191,124.0,14.0,4.0,0.001,13.0,D1,dataset2
192,143.0,5.8,16.0,10.6,26.3,D1,dataset2
193,137.0,6.0,11.4,6.4,16.5,D1,dataset2
194,102.0,6.0,6.0,7.0,10.0,D1,dataset2
195,115.0,25.5,110.0,12.2,8.6,D1,dataset2
196,169.0,38.0,48.5,6.5,5.8,D1,dataset2
197,186.0,38.3,13.0,37.0,85.9,D1,dataset2
198,151.0,13.5,50.7,5.0,9.2,D1,dataset2
199,716.0,7.1,3.3,20.0,6.8,D1,dataset2
200,716.0,7.1,33.0,20.0,6.8,D1,dataset2
201,476.0,28.0,27.0,36.0,148.0,D1,dataset2
202,289.0,13.4,18.2,49.8,36.3,D1,dataset2
203,3559.0,187.0,22.0,230.0,1140.0,D1,dataset2
204,4879.0,262.0,15.0,332.0,1827.0,D1,dataset2
205,4127.0,267.0,18.0,355.0,2060.0,D1,dataset2
206,843.0,133.0,12.0,168.0,385.0,D1,dataset2
207,137.0,33.0,8.0,29.0,111.0,D1,dataset2
208,315.0,60.0,14.0,93.0,218.0,D1,dataset2
209,818.0,94.0,49.0,121.0,978.0,D1,dataset2
210,500.0,97.0,193.0,40.0,121.0,D1,dataset2
211,119.0,8.0,20.0,0.001,21.0,D1,dataset2
212,205.0,20.0,8.0,0.001,6.0,D1,dataset2
213,119.0,8.0,23.3,7.9,12.3,D1,dataset2
214,256.0,8.0,37.4,15.0,21.1,D1,dataset2
215,153.0,18.0,9.0,0.001,11.0,D1,dataset2
216,301.0,5.78,4.7,9.7,5.0,D1,dataset2
217,208.0,7.6,27.5,9.7,14.4,D1,dataset2
218,254.0,5.2,0.001,9.3,88.0,D1,dataset2
219,385.0,28.8,50.0,82.3,171.0,D1,dataset2
220,225.0,4.7,0.001,8.7,89.0,D1,dataset2
221,179.0,39.3,64.0,654.0,168.0,D1,dataset2
222,78.0,20.0,11.0,13.0,28.0,D1,dataset2
223,305.0,100.0,33.0,161.0,541.0,D1,dataset2
224,35.0,6.0,3.0,26.0,482.0,D1,dataset2
225,543.0,120.0,41.0,411.0,1880.0,D1,dataset2
226,1230.0,163.0,27.0,233.0,692.0,D1,dataset2
227,645.0,86.0,13.0,110.0,317.0,D1,dataset2
228,60.0,10.0,4.0,4.0,4.0,D1,dataset2
229,95.0,10.0,0.001,11.0,39.0,D1,dataset2
230,6870.0,1028.0,79.0,900.0,5500.0,D1,dataset2
231,10092.0,5399.0,530.0,6500.0,37565.0,D1,dataset2
232,650.0,81.0,170.0,51.0,270.0,D1,dataset2
233,210.0,22.0,6.0,6.0,7.0,D1,dataset2
234,385.0,60.0,8.0,53.0,159.0,D1,dataset2
235,4230.0,690.0,5.0,196.0,1180.0,D1,dataset2
236,595.0,80.0,9.0,89.0,244.0,D1,dataset2
237,120.0,25.0,1.0,8.0,40.0,D1,dataset2
238,6454.0,2313.0,121.0,2159.0,6432.0,D1,dataset2
239,2177.0,1049.0,207.0,440.0,705.0,D1,dataset2
240,1790.0,580.0,321.0,336.0,619.0,D1,dataset2
241,1330.0,10.0,20.0,66.0,182.0,D1,dataset2
242,4.0,1.0,2.0,7.0,52.0,D1,dataset2
243,1900.0,285.0,31.0,957.0,7730.0,D1,dataset2
244,57.0,24.0,2.0,27.0,30.0,D1,dataset2
245,1000.0,500.0,1.0,400.0,500.0,D1,dataset2
246,23.0,63.0,54.0,10.0,0.3,D1,dataset2
247,345.0,112.3,27.5,51.5,58.8,D1,dataset2
248,234.5,30.28,6.11,47.69,175.88,D1,dataset2
249,47.0,9.0,4.0,16.0,81.0,D2,dataset2
250,84.0,6.0,1.0,14.0,86.0,D2,dataset2
251,629.0,402.0,16.0,298.0,1127.0,D2,dataset2
252,35.0,11.0,0.001,7.0,146.0,D2,dataset2
253,64.0,18.0,1.0,4.0,122.0,D2,dataset2
