H2;CH4;C2H6;C2H4;C2H2;Fail
217;286;14;458;884;D2
441;207;43;224;261;D2
127;24;0,001;32;81;D2
176;205,9;47,7;75,7;68,7;D2
90;313;67;566;10;T1
23;6;172;23;31;T1
103;74;80;9;0,001;T1
124;166;87;59;0,001;T1
295;1466;331;1295;32;T2
80;619;326;2480;0,001;T2
231;3997;1726;5584;0,001;T2
507;1053;297;1440;17;T2
2587;7,88;4,7;1,4;0,001;D1
240;20;5;28;96;D1
160;10;3;1;1;D1
56;61;75;32;31;D1
217;286;14;458;884;D2
441;207;43;224;261;D2
127;24;0,001;32;81;D2
176;205,9;47,7;75,7;68,7;D2
41;65;22;58;0,001;T2
20;48;36;186;0,001;T3
179;306;73;579;0,001;T3
73;177;37;52;0,001;T2
39;7;12;65;0,001;T3
37;96;19;57;0,001;T2
46;147;27;150;0,001;T3
18;63;20;51;0,001;T2
28;62;16;76;0,001;T3
68;78;103;136;0,001;T3
54;143;23;101;0,001;T2
19;47;27;62;0,001;T2
86;277;63;338;0,001;T3
20;19;45;77;0,001;T3
25;49;42;58;0,001;T2
53;150;64;379;0,001;T3
114;241;80;574;0,001;T3
99;288;73;386;0,001;T3
1374;2648;628;5376;298;T3
34;83;100;136;0,001;T3
20;132;61;17;0,001;T1
13;138;83;16;0,001;T1
43;116;65;139;0,001;T2
179;306;73;579;0,001;T3
57;141;38;51;0,001;T2
35;283;121;222;0,001;T2
15;159;29;87;0,001;T2
55;159;114;493;0,001;T3
37;123;67;52;0,001;T1
7;15;78;58;0,001;T1
30;51;12;54;0,001;T3
31;56;33;77;0,001;T2
109;226;68;192;0,001;T2
137;279;66;505;0,001;T3
59;119;36;70;0,001;T2
151;242;68;232;0,001;T2
870;77;73;54;14;PD
376;575;146;1092;0,001;T3
17;40;11;86;0,001;T3
345;112,3;27,5;51,5;58,8;D1
181;262;41;28;0,001;T1
172,9;334;172;812,5;37,7;T3
127;107;11;154;224;D2
60;40;6,9;110;70;D2
220;340;42;480;14;T3
170;320;53;520;3,2;T3
27;90;42;73;0,2;T1
565;53;34;47;0,001;D1
56;286;96;28;7;T3
200;48;14;117;131;D2
78;161;86;353;10;T3
32,4;5,5;1,4;12,6;13,2;D2
117;17;1;3;1;PD
407;28;15;21;0,001;PD
183;6;0,001;5;0,001;PD
166;21;38;6;0,001;PD
105;23;13;4;3;PD
110;7;0,001;0,001;0,001;PD
111,7;19,4;104,1;6,4;3,8;PD
181,5;22;76;3,7;0,001;PD
230;15,9;16,3;1,9;2,4;PD
101;8,1;0,001;3;0,001;PD
134;13;156;0,001;0,001;PD
1549,2;10,2;0,001;53,19;0,001;PD
1458;9;1812;0,001;0,001;PD
195;5,3;0,001;0,001;0,001;PD
197;12;6,6;15;0,001;PD
106;4;2;1;0,001;PD
109;4;11;9;0,001;PD
109;16;0,001;0,001;0,001;PD
116;14;134;5,3;0,001;PD
100;18;0,001;0,001;0,001;PD
113;21;48;0,001;4;PD
103,5;4,7;16,3;3,5;0,001;PD
160;24,7;38,5;0,001;0,001;PD
134;13;267;0,001;0,001;PD
235;16;0,001;35;0,001;PD
187;5;1;0,001;0,001;PD
121;3;1;0,001;0,001;PD
32930;2397;157;0,001;0,001;PD
37800;1740;249;8;8;PD
8266;1061;22;0,001;0,001;PD
9340;995;60;6;7;PD
36036;4704;554;5;10;PD
33046;619;58;2;0,001;PD
40280;1069;1060;1;1;PD
26788;18342;2111;27;0,001;PD
92600;10200;0,001;0,001;0,001;PD
16000;3600;670;14;0,001;PD
6600;1000;38;2;19;PD
2091;149;20;3;0,001;PD
980;73;58;12;0,001;PD
650;53;35;20;0,001;PD
56;61;75;32;31;PD
1651;90;33;45;2;PD
2510;202;139;208;1730;D1
109;19;5;12;59;D1
135;27;24;9;13;D1
174;27;6;12;29;D1
179;29;10;17;33;D1
142;17;4;7;38;D1
595;32;4;18;65;D1
720;7;0,001;15;101;D1
163;26;7;19;133;D1
153;18;9;0,001;278;D1
111;2,8;47;0,001;27,5;D1
124;14;4;0,001;13;D1
143;5,8;16;10,6;26,3;D1
137;6;11,4;6,4;16,5;D1
102;6;6;7;10;D1
115;25,5;110;12,2;8,6;D1
169;38;48,5;6,5;5,8;D1
186;38,3;13;37;85,9;D1
151;13,5;50,7;5;9,2;D1
716;7,1;3,3;20;6,8;D1
716;7,1;33;20;6,8;D1
476;28;27;36;148;D1
289;13,4;18,2;49,8;36,3;D1
3559;187;22;230;1140;D1
4879;262;15;332;1827;D1
4127;267;18;355;2060;D1
843;133;12;168;385;D1
137;33;8;29;111;D1
315;60;14;93;218;D1
818;94;49;121;978;D1
500;97;193;40;121;D1
119;8;20;0,001;21;D1
205;20;8;0,001;6;D1
119;8;23,3;7,9;12,3;D1
256;8;37,4;15;21,1;D1
153;18;9;0,001;11;D1
301;5,78;4,7;9,7;5;D1
208;7,6;27,5;9,7;14,4;D1
254;5,2;0,001;9,3;88;D1
385;28,8;50;82,3;171;D1
225;4,7;0,001;8,7;89;D1
179;39,3;64;654;168;D1
78;20;11;13;28;D1
305;100;33;161;541;D1
35;6;3;26;482;D1
543;120;41;411;1880;D1
1230;163;27;233;692;D1
645;86;13;110;317;D1
60;10;4;4;4;D1
95;10;0,001;11;39;D1
6870;1028;79;900;5500;D1
10092;5399;530;6500;37565;D1
650;81;170;51;270;D1
210;22;6;6;7;D1
385;60;8;53;159;D1
4230;690;5;196;1180;D1
595;80;9;89;244;D1
120;25;1;8;40;D1
6454;2313;121;2159;6432;D1
2177;1049;207;440;705;D1
1790;580;321;336;619;D1
1330;10;20;66;182;D1
4;1;2;7;52;D1
1900;285;31;957;7730;D1
57;24;2;27;30;D1
1000;500;1;400;500;D1
23;63;54;10;0,3;D1
345;112,3;27,5;51,5;58,8;D1
234,5;30,28;6,11;47,69;175,88;D1
47;9;4;16;81;D2
84;6;1;14;86;D2
629;402;16;298;1127;D2
35;11;0,001;7;146;D2
64;18;1;4;122;D2
63;22;15;11;76;D2
30;14;1;9;43;D2
323;115;7;130;446;D2
80;28;4;15;107;D2
19;12;2;8;63;D2
152;116;7;131;414;D2
25;9;6;5;44;D2
57;148;197;72;42;D2
156;55;103;13;16;D2
85;49;4;50;399;D2
392;153;82;45;236;D2
48;20;69;41;31;D2
88;21,8;79,2;41,2;41,5;D2
50;42;98;10;33;D2
43;19;3;0,001;40;D2
59;20;120;5,5;8,9;D2
292;346;32;313;196;D2
0,001;21;0,001;0,001;40;D2
26,6;4;0,001;8;50;D2
10;15;0,001;0,001;35;D2
41;16;19;58;106;D2
37;11,8;15,5;43,6;83,3;D2
14,3;92,6;83,9;16,7;26,8;D2
123;50,7;9;62;65,9;D2
2;41;133;9;21;D2
26;68;93;31;59;D2
77;36;27;18;76;D2
46;21;1;11;93;D2
25;28;27;15;80;D2
243;127;20;122;588;D2
88;45;57;15;39;D2
61;21;2;26;89;D2
151;51;16;12;19;D2
75;5;31;69;36;D2
71;151;9;89;412;D2
87;34;23;15;60;D2
114;41;27;15;42;D2
60;85;5;67;227;D2
46;20;14;10;42;D2
22;14;19;6;56;D2
70;4;91;0,001;34;D2
65,4;20,2;70;39;40,2;D2
155;49;69,3;42;10,7;D2
88,5;22,8;108,4;12;7,5;D2
0,001;0,001;10;5;35;D2
34;0,001;0,001;0,001;44;D2
12,4;6,5;15,3;69;15;D2
215;84,8;87,7;1002;212;D2
17;42;192;12;20;D2
4;88;213;14;35;D2
440;89;19;304;757;D2
210;43;12;102;187;D2
2850;1115;138;1987;3675;D2
7020;1850;0,001;2960;4410;D2
545;130;16;153;239;D2
7150;1440;97;1210;1760;D2
620;325;38;181;244;D2
120;31;0,001;66;94;D2
755;229;32;404;460;D2
5100;1430;0,001;1140;1010;D2
13500;6110;212;4510;4040;D2
1570;1110;175;1780;1830;D2
3090;5020;323;3800;2540;D2
1820;405;35;365;634;D2
535;160;16;305;680;D2
13;3;1;3;6;D2
137;67;7;53;104;D2
1084;188;8;166;769;D2
34;21;4;49;56;D2
7940;2000;355;3120;5390;D2
150;130;9;55;30;D2
8200;3790;250;4620;5830;D2
260;215;35;334;277;D2
75;15;7;14;26;D2
530;345;85;266;250;D2
60;5;2;21;21;D2
90;28;8;31;32;D2
220;77;22;170;240;D2
5900;1500;68;1200;2300;D2
420;250;41;530;800;D2
2800;2800;234;3500;3600;D2
99;170;20;200;190;D2
310;230;54;610;760;D2
800;160;23;260;600;D2
1500;395;28;395;323;D2
20000;13000;1850;29000;57000;D2
305;85;25;197;130;D2
1900;530;35;383;434;D2
110;62;90;140;250;D2
3700;1690;128;2810;3270;D2
2770;660;54;712;763;D2
245;120;18;131;167;D2
1170;255;18;312;325;D2
4419;3564;668;2861;2025;D2
810;580;111;570;490;D2
5000;1200;83;1000;1100;D2
10000;6730;345;7330;10400;D2
1570;735;87;1330;1740;D2
8200;3790;250;4620;277;D2
75;15;7;14;250;D2
530;345;85;266;21;D2
60;5;2;21;32;D2
5900;1500;68;1200;800;D2
21;34;5;47;62;D2
127;107;11;154;224;D2
60;40;6,9;110;70;D2
200;48;14;117;131;D2
32,4;5,5;1,4;12,6;13,2;D2
18,34;16,26;3,38;17,95;16,42;D2
235,46;333,59;177,52;1201,85;148,87;D2
42;124;1;8;0,001;T1
36;167;230;18;0,001;T1
10;56;72;70;0,001;T1
9;38;93;8;0,001;T1
36;21;65;2;0,001;T1
161;38;210;13;0,001;T1
38;38;296;14;0,001;T1
13;59;117;44;0,001;T1
10;44;106;28;0,001;T1
15;7;92;5;0,001;T1
85;98;315;30;0,001;T1
74;173;263;33;0,001;T1
122;161;271;35;0,001;T1
69;174;267;15;0,001;T1
113;137;173;34;0,001;T1
111;67;105;9;0,001;T1
18;30;146;8;0,001;T1
21;14;191;90;0,001;T1
31,2;8,9;119;4,4;0,001;T1
34;8,6;70,3;3,1;0,001;T1
10;24;80;5;0,001;T1
0,001;43;146;9;0,001;T1
0,001;215;555;18,4;0,001;T1
0,001;153;395;11,7;0,001;T1
0,001;187;609;13;0,001;T1
320;131;187;127;0,001;T1
13,2;18,7;97,4;79,5;4,7;T1
16,4;45,5;68,7;3,8;0,001;T1
0,001;116;70;0,001;0,001;T1
24;109;69;0,001;0,001;T1
0,001;33,7;136;11,4;0,001;T1
54,9;8,8;80;2,5;0,001;T1
93,5;131,9;39;11,7;0,001;T1
16;68;124;15;0,001;T1
11;46;155;18;0,001;T1
16;68;157;19;0,001;T1
29;71;158;20;0,001;T1
19;48;76;18;0,001;T1
8;16;88;7;0,001;T1
10;26;147;6;0,001;T1
9;56;135;7;1;T1
45;125;111;25;0,001;T1
16;105;224;15;0,001;T1
10;63;176;35;0,001;T1
6;38;93;32;0,001;T1
12;28;102;3;0,001;T1
27;28;136;8;0,001;T1
27;49;192;9;0,001;T1
24;47;113;10;0,001;T1
43;28;72;9;0,001;T1
25;29;137;8;0,001;T1
19;62;95;5;0,001;T1
157;46;76;12;0,001;T1
115;129;316;36;0,001;T1
112;68;136;9;0,001;T1
11;271;465;32;0,001;T1
121;73;179;11;0,001;T1
128;35;213;17;0,001;T1
16;80;134;10;0,001;T1
92;27;67;7;0,001;T1
17;21;118;0,001;4;T1
36;94;78;13;2;T1
6;197;476,9;16,9;0,001;T1
24,7;20,4;117;71;6,8;T1
820;1740;951;867;128;T1
74;100;85;17;0,001;T1
39,4;65,2;103,9;8,1;0,001;T1
74,8;30,1;82,3;13,6;0,001;T1
79;40;264;10;0,001;T1
5;14;234;5;0,001;T1
130;140;2;120;0,001;T1
55;22;358;2,6;0,001;T1
78;66;283;2,6;0,001;T1
1;27;49;4;1;T1
14;14;124;7;1;T1
27;30;23;2,4;0,1;T1
181;262;41;28;0,001;T1
160;130;33;96;0,001;T1
95;110;160;50;0,001;T1
625;130;47;2;0,0001;T1
505,57;475,35;242,3;524,45;3,29;T1
15;139;160;343;0,001;T2
0,001;6;52;67;0,001;T2
26;398;85;319;0,001;T2
50;274;95;320;6,3;T2
31;63;246;714;7;T2
2;5;81;172;0,001;T2
3;5;90;185;3;T2
16;98;35;64;0,001;T2
2;123;7;18;0,001;T2
185;302;27;33;0,001;T2
14;15;42;73;0,001;T2
62;425;276;651;26;T2
88,7;460,8;94,9;184,6;18,3;T2
119;670;286;934;19;T2
109;102;28;91;0,001;T2
0,001;4,9;81;172;0,001;T2
24;78;266;779;7;T2
24;80;258;741;6;T2
160;130;33;96;0,1;T2
180;175;75;50;4;T2
30,4;117;44,2;138;0,1;T2
27;90;42;63;0,2;T2
300;490;180;360;95;T2
200;700;250;740;1;T2
18;35;2;110;0,001;T3
10;4;1;87;0,001;T3
8;1;0,001;60;0,001;T3
24;20;4;87;0,001;T3
21;42;4;92;0,001;T3
35;29;7;78;0,001;T3
8;88;45;252;0,001;T3
0,001;28;64;408;6;T3
0,001;100;309;1365;7;T3
0,001;106;170;871;6;T3
86;480;155;644;9;T3
121;450;146;898;116;T3
0,001;3,4;0,001;54;0,001;T3
11;13;2;127;0,001;T3
4;2;1;63;0,001;T3
20;26;6;55;0,001;T3
34;174;52;361;0,001;T3
7;31;23;148;0,001;T3
0,001;0,001;0,001;142;0,001;T3
89;281;145;1216;22;T3
0,001;10;17;68;5;T3
39;525;538;2925;16;T3
9;47;144;628;0,001;T3
53;189;25;295;5;T3
12;270;0,001;275;0,001;T3
0,001;153;130;677;13;T3
27;51;0,001;153;0,001;T3
0,001;0,001;9;57;0,001;T3
8800;64064;72128;95650;0,001;T3
6709;10500;1400;17700;750;T3
1100;1600;221;2010;26;T3
290;966;299;1810;57;T3
2500;10500;4790;13500;6;T3
1860;4980;0,001;10700;1600;T3
860;1670;30;2050;40;T3
150;22;9;60;11;T3
400;940;210;820;24;T3
6;2990;29990;26076;67;T3
100;200;110;670;11;T3
290;1260;231;820;8;T3
1550;2740;816;5450;184;T3
3910;4290;626;6040;1230;T3
12705;23498;6047;34257;5188;T3
1;8;8;100;6;T3
300;700;280;1700;36;T3
107;143;34;222;2;T3
3420;7870;1500;6990;33;T3
19,3;103;159;19;0,6;T3
173;334;172;812,5;37,7;T3
220;340;42;480;14;T3
170;320;53;520;3,2;T3
56;286;96;928;7;T3
78;161;86;353;10;T3
36;30;10;93;7,1;T3
2091;149;20;3;0,001;PD
8200;3790;250;4620;277;D2
75;15;7;14;250;D2
530;345;85;266;21;D2
60;5;2;21;32;D2
5900;1500;68;1200;800;D2
1;27;49;4;1;T1
14;14;124;7;1;T1
3420;7870;1500;6990;33;T3
19,3;103;159;19;0,6;T3
27;30;23;2,4;0,1;T1
23;63;54;10;0,3;D1
21;34;5;47;62;D2
160;130;33;96;0,1;T2
180;175;75;50;4;T2
345;112,3;27,5;51,5;58,8;D1
30,4;117;44,2;138;0,1;T2
181;262;41;28;0,001;T1
173;334;172;812,5;37,7;T3
127;107;11;154;224;D2
60;40;6,9;110;70;D2
220;340;42;480;14;T3
170;320;53;520;3,2;T3
27;90;42;63;0,2;T2
56;286;96;928;7;T3
200;48;14;117;131;D2
78;161;86;353;10;T3
32,4;5,5;1,4;12,6;13,2;D2
980;73;58;12;0,001;PD
160;130;33;96;0,001;T1
650;53;35;20;0,001;PD
95;110;160;50;0,001;T1
300;490;180;360;95;T2
200;700;250;740;1;T2
625;130;47;2;0,0001;T1
56;61;75;32;31;PD
1651;90;33;45;2;PD
234,5;30,28;6,11;47,69;175,88;D1
18,34;16,26;3,38;17,95;16,42;D2
235,46;333,59;177,52;1201,85;148,87;D2
505,57;475,35;242,3;524,45;3,29;T1
36;30;10;93;7,1;T3
1651;90;33;45;2;PD
234,5;30,28;6,11;47,69;175,88;D1
18,34;16,26;3,38;17,95;16,42;D2
235,46;333,59;177,52;1201,85;148,87;D2
505,57;475,35;242,3;524,45;3,29;T1
36;30;10;93;7,1;T3
181;262;41;28;0,001;T1
173;334;172;812,5;37,7;T3
127;107;11;154;224;D2
60;40;6,9;110;70;D2
220;340;42;480;14;T3
170;320;53;520;3,2;T3
27;90;42;63;0,2;T2
56;286;96;928;7;T3
200;48;14;117;131;D2
78;161;86;353;10;T3
32,4;5,5;1,4;12,6;13,2;D2
980;73;58;12;0,001;PD
160;130;33;96;0,001;T1
650;53;35;20;0,001;PD
95;110;160;50;0,001;T1
300;490;180;360;95;T2
200;700;250;740;1;T2
625;130;47;2;0,0001;T1
56;61;75;32;31;PD
19,3;103;159;19;0,6;T3
27;30;23;2,4;0,1;T1
23;63;54;10;0,3;D1
21;34;5;47;62;D2
160;130;33;96;0,1;T2
180;175;75;50;4;T2
345;112,3;27,5;51,5;58,8;D1
30,4;117;44,2;138;0,1;T2
2091;149;20;3;0,001;PD
8200;3790;250;4620;277;D2
75;15;7;14;250;D2
530;345;85;266;21;D2
60;5;2;21;32;D2
5900;1500;68;1200;800;D2
1;27;49;4;1;T1
14;14;124;7;1;T1
3420;7870;1500;6990;33;T3
130;140;2;120;0,001;T1
55;22;358;2,6;0,001;T1
78;66;283;2,6;0,001;T1
16000;3600;670;14;0,001;PD
6600;1000;38;2;19;PD
32930;2397;157;0,001;0,001;PD
37800;1740;249;8;8;PD
8266;1061;22;0,001;0,001;PD
9340;995;60;6;7;PD
36036;4704;554;5;10;PD
33046;619;58;2;0,001;PD
40280;1069;1060;1;1;PD
26788;18342;2111;27;0,001;PD
92600;10200;0,001;0,001;0,001;PD
78;20;11;13;28;D1
305;100;33;161;541;D1
35;6;3;26;482;D1
543;120;41;411;1880;D1
1230;163;27;233;692;D1
645;86;13;110;317;D1
60;10;4;4;4;D1
95;10;0,001;11;39;D1
6870;1028;79;900;5500;D1
10092;5399;530;6500;37565;D1
650;81;170;51;270;D1
210;22;6;6;7;D1
385;60;8;53;159;D1
4230;690;5;196;1180;D1
595;80;9;89;244;D1
120;25;1;8;40;D1
6454;2313;121;2159;6432;D1
2177;1049;207;440;705;D1
1790;580;321;336;619;D1
1330;10;20;66;182;D1
4;1;2;7;52;D1
1900;285;31;957;7730;D1
57;24;2;27;30;D1
1000;500;1;400;500;D1
440;89;19;304;757;D2
210;43;12;102;187;D2
2850;1115;138;1987;3675;D2
7020;1850;0,001;2960;4410;D2
545;130;16;153;239;D2
7150;1440;97;1210;1760;D2
620;325;38;181;244;D2
120;31;0,001;66;94;D2
755;229;32;404;460;D2
5100;1430;0,001;1140;1010;D2
13500;6110;212;4510;4040;D2
1570;1110;175;1780;1830;D2
3090;5020;323;3800;2540;D2
1820;405;35;365;634;D2
535;160;16;305;680;D2
13;3;1;3;6;D2
137;67;7;53;104;D2
1084;188;8;166;769;D2
34;21;4;49;56;D2
7940;2000;355;3120;5390;D2
150;130;9;55;30;D2
8200;3790;250;4620;5830;D2
260;215;35;334;277;D2
75;15;7;14;26;D2
530;345;85;266;250;D2
60;5;2;21;21;D2
90;28;8;31;32;D2
220;77;22;170;240;D2
5900;1500;68;1200;2300;D2
420;250;41;530;800;D2
2800;2800;234;3500;3600;D2
99;170;20;200;190;D2
310;230;54;610;760;D2
800;160;23;260;600;D2
1500;395;28;395;323;D2
20000;13000;1850;29000;57000;D2
305;85;25;197;130;D2
1900;530;35;383;434;D2
110;62;90;140;250;D2
3700;1690;128;2810;3270;D2
2770;660;54;712;763;D2
245;120;18;131;167;D2
1170;255;18;312;325;D2
4419;3564;668;2861;2025;D2
810;580;111;570;490;D2
5000;1200;83;1000;1100;D2
10000;6730;345;7330;10400;D2
1570;735;87;1330;1740;D2
8800;64064;72128;95650;0,001;T3
6709;10500;1400;17700;750;T3
1100;1600;221;2010;26;T3
290;966;299;1810;57;T3
2500;10500;4790;13500;6;T3
1860;4980;0,001;10700;1600;T3
860;1670;30;2050;40;T3
150;22;9;60;11;T3
400;940;210;820;24;T3
6;2990;29990;26076;67;T3
100;200;110;670;11;T3
290;1260;231;820;8;T3
1550;2740;816;5450;184;T3
3910;4290;626;6040;1230;T3
12705;23498;6047;34257;5188;T3
1;8;8;100;6;T3
300;700;280;1700;36;T3
107;143;34;222;2;T3
117;17;1;3;1;PD
407;28;15;21;0,001;PD
183;6;0,001;5;0,001;PD
166;21;38;6;0,001;PD
105;23;13;4;3;PD
110;7;0,001;0,001;0,001;PD
111,7;19,4;104,1;6,4;3,8;PD
181,5;22;76;3,7;0,001;PD
230;15,9;16,3;1,9;2,4;PD
101;8,1;0,001;3;0,001;PD
134;13;156;0,001;0,001;PD
1549,2;10,2;0,001;53,19;0,001;PD
1458;9;1812;0,001;0,001;PD
195;5,3;0,001;0,001;0,001;PD
197;12;6,6;15;0,001;PD
106;4;2;1;0,001;PD
109;4;11;9;0,001;PD
109;16;0,001;0,001;0,001;PD
116;14;134;5,3;0,001;PD
100;18;0,001;0,001;0,001;PD
113;21;48;0,001;4;PD
103,5;4,7;16,3;3,5;0,001;PD
160;24,7;38,5;0,001;0,001;PD
134;13;267;0,001;0,001;PD
235;16;0,001;35;0,001;PD
187;5;1;0,001;0,001;PD
121;3;1;0,001;0,001;PD
2510;202;139;208;1730;D1
109;19;5;12;59;D1
135;27;24;9;13;D1
174;27;6;12;29;D1
179;29;10;17;33;D1
142;17;4;7;38;D1
595;32;4;18;65;D1
720;7;0,001;15;101;D1
163;26;7;19;133;D1
153;18;9;0,001;278;D1
111;2,8;47;0,001;27,5;D1
124;14;4;0,001;13;D1
143;5,8;16;10,6;26,3;D1
137;6;11,4;6,4;16,5;D1
102;6;6;7;10;D1
115;25,5;110;12,2;8,6;D1
169;38;48,5;6,5;5,8;D1
186;38,3;13;37;85,9;D1
151;13,5;50,7;5;9,2;D1
716;7,1;3,3;20;6,8;D1
716;7,1;33;20;6,8;D1
476;28;27;36;148;D1
289;13,4;18,2;49,8;36,3;D1
3559;187;22;230;1140;D1
4879;262;15;332;1827;D1
4127;267;18;355;2060;D1
843;133;12;168;385;D1
137;33;8;29;111;D1
315;60;14;93;218;D1
818;94;49;121;978;D1
500;97;193;40;121;D1
119;8;20;0,001;21;D1
205;20;8;0,001;6;D1
119;8;23,3;7,9;12,3;D1
256;8;37,4;15;21,1;D1
153;18;9;0,001;11;D1
301;5,78;4,7;9,7;5;D1
208;7,6;27,5;9,7;14,4;D1
254;5,2;0,001;9,3;88;D1
385;28,8;50;82,3;171;D1
225;4,7;0,001;8,7;89;D1
179;39,3;64;654;168;D1
47;9;4;16;81;D2
84;6;1;14;86;D2
629;402;16;298;1127;D2
35;11;0,001;7;146;D2
64;18;1;4;122;D2
63;22;15;11;76;D2
30;14;1;9;43;D2
323;115;7;130;446;D2
80;28;4;15;107;D2
19;12;2;8;63;D2
152;116;7;131;414;D2
25;9;6;5;44;D2
57;148;197;72;42;D2
156;55;103;13;16;D2
85;49;4;50;399;D2
392;153;82;45;236;D2
48;20;69;41;31;D2
88;21,8;79,2;41,2;41,5;D2
50;42;98;10;33;D2
43;19;3;0,001;40;D2
59;20;120;5,5;8,9;D2
292;346;32;313;196;D2
0,001;21;0,001;0,001;40;D2
26,6;4;0,001;8;50;D2
10;15;0,001;0,001;35;D2
41;16;19;58;106;D2
37;11,8;15,5;43,6;83,3;D2
14,3;92,6;83,9;16,7;26,8;D2
123;50,7;9;62;65,9;D2
2;41;133;9;21;D2
26;68;93;31;59;D2
77;36;27;18;76;D2
46;21;1;11;93;D2
25;28;27;15;80;D2
243;127;20;122;588;D2
88;45;57;15;39;D2
61;21;2;26;89;D2
151;51;16;12;19;D2
75;5;31;69;36;D2
71;151;9;89;412;D2
87;34;23;15;60;D2
114;41;27;15;42;D2
60;85;5;67;227;D2
46;20;14;10;42;D2
22;14;19;6;56;D2
70;4;91;0,001;34;D2
65,4;20,2;70;39;40,2;D2
155;49;69,3;42;10,7;D2
88,5;22,8;108,4;12;7,5;D2
0,001;0,001;10;5;35;D2
34;0,001;0,001;0,001;44;D2
12,4;6,5;15,3;69;15;D2
215;84,8;87,7;1002;212;D2
17;42;192;12;20;D2
4;88;213;14;35;D2
42;124;1;8;0,001;T1
36;167;230;18;0,001;T1
10;56;72;70;0,001;T1
9;38;93;8;0,001;T1
36;21;65;2;0,001;T1
161;38;210;13;0,001;T1
38;38;296;14;0,001;T1
13;59;117;44;0,001;T1
10;44;106;28;0,001;T1
15;7;92;5;0,001;T1
85;98;315;30;0,001;T1
74;173;263;33;0,001;T1
122;161;271;35;0,001;T1
69;174;267;15;0,001;T1
113;137;173;34;0,001;T1
111;67;105;9;0,001;T1
18;30;146;8;0,001;T1
21;14;191;90;0,001;T1
31,2;8,9;119;4,4;0,001;T1
34;8,6;70,3;3,1;0,001;T1
10;24;80;5;0,001;T1
0,001;43;146;9;0,001;T1
0,001;215;555;18,4;0,001;T1
0,001;153;395;11,7;0,001;T1
0,001;187;609;13;0,001;T1
320;131;187;127;0,001;T1
13,2;18,7;97,4;79,5;4,7;T1
16,4;45,5;68,7;3,8;0,001;T1
0,001;116;70;0,001;0,001;T1
24;109;69;0,001;0,001;T1
0,001;33,7;136;11,4;0,001;T1
54,9;8,8;80;2,5;0,001;T1
93,5;131,9;39;11,7;0,001;T1
16;68;124;15;0,001;T1
11;46;155;18;0,001;T1
16;68;157;19;0,001;T1
29;71;158;20;0,001;T1
19;48;76;18;0,001;T1
8;16;88;7;0,001;T1
10;26;147;6;0,001;T1
9;56;135;7;1;T1
45;125;111;25;0,001;T1
16;105;224;15;0,001;T1
10;63;176;35;0,001;T1
6;38;93;32;0,001;T1
12;28;102;3;0,001;T1
27;28;136;8;0,001;T1
27;49;192;9;0,001;T1
24;47;113;10;0,001;T1
43;28;72;9;0,001;T1
25;29;137;8;0,001;T1
19;62;95;5;0,001;T1
157;46;76;12;0,001;T1
115;129;316;36;0,001;T1
112;68;136;9;0,001;T1
11;271;465;32;0,001;T1
121;73;179;11;0,001;T1
128;35;213;17;0,001;T1
16;80;134;10;0,001;T1
92;27;67;7;0,001;T1
17;21;118;0,001;4;T1
36;94;78;13;2;T1
6;197;476,9;16,9;0,001;T1
24,7;20,4;117;71;6,8;T1
